Date,Chili (red),Tomatoes,Beans (dry),Cassava,Maize,Oranges (big size),Peas (fresh),Potatoes (Irish),Sorghum
2012-06-01,732.6580075471699,378.22484464285714,333.9885310344828,198.09172702702702,262.3816037735849,461.1964660377359,822.6707441860465,161.90684827586207,358.7506462962963
2012-07-01,,,321.66176481481483,212.36904705882353,270.592976,,736.0167470588235,177.5251074074074,340.3053941176471
2012-08-01,,,329.1014944444444,210.78299459459458,263.6606980392157,,812.8540923076923,198.02346666666668,351.4767039215686
2012-09-01,,,341.55,226.60714285714286,272.7894736842105,,988.0674576923077,223.175,365.42105263157896
2012-10-01,,,355.7674418604651,247.3793103448276,278.9024390243902,,1299.666776,214.16666666666666,371.9512195121951
2012-11-01,,,353.3840087719298,231.37388378378375,273.0179962264151,,995.4626944444444,170.9378157894737,367.41320566037734
2012-12-01,,,343.82914074074074,216.49517027027025,287.12964489795917,,713.5697622222222,144.2007037037037,367.12136
2013-01-01,,,290.7835666666667,220.50952999999998,301.4405804347826,,682.4743,156.10126078431372,364.33384468085103
2013-02-01,,,299.462962962963,226.72222222222223,259.6923076923077,,807.6052653846153,157.1320754716981,342.22
2013-03-01,,,326.7149034482759,243.86736470588238,231.8353909090909,,922.9554750000001,172.1082210526316,337.64755454545457
2013-04-01,,,357.70302982456144,260.88784375,235.1436381818182,,945.924440625,183.1904403508772,329.14989629629633
2013-05-01,795.3772039215686,462.2253962962963,371.07193703703706,247.83341875,233.10464800000003,487.0191285714286,876.3593414634147,180.1338716981132,292.9268725490196
2013-06-01,735.0954517857143,461.20385172413796,388.87681896551726,228.37754857142858,230.9199327272727,524.7425362068966,763.1663357142858,200.3502245614035,252.68733333333333
2013-07-01,837.7487363636365,453.7647534482759,376.13510344827586,234.20024411764706,224.3792433962264,594.63443,794.8315085714286,209.11997719298245,229.93415555555555
2013-08-01,1468.0658490196076,399.5327186440678,388.576805,228.12424242424242,223.0595472727273,673.3932441860466,1039.5595962962964,233.07375344827588,221.26388928571427
2013-09-01,1952.8486020408163,306.97095409836066,479.0623852459016,224.74573333333333,250.91836,726.0869304347826,1183.5788708333332,245.46842372881358,229.08459473684212
